date,value
1993-07-01,0.01
1993-10-01,0.01
1994-01-01,0.01
1994-04-01,0.01
1994-07-01,0.01
1994-10-01,0.20074
1995-01-01,5.96643
1995-04-01,5.96643
1995-07-01,5.96643
1995-10-01,5.96643
1996-01-01,5.96643
1996-04-01,5.96643
1996-07-01,5.96643
1996-10-01,5.96643
1997-01-01,5.96643
1997-04-01,6.46643
1997-07-01,6.46643
1997-10-01,6.46643
1998-01-01,6.46643
1998-04-01,6.46643
1998-07-01,6.46643
1998-10-01,6.19728
1999-01-01,6.19728
1999-04-01,6.19728
1999-07-01,6.19728
1999-10-01,6.19728
2000-01-01,6.17468
2000-04-01,6.17468
2000-07-01,9.92468
2000-10-01,9.92468
2001-01-01,9.45242
2001-04-01,6.3096
2001-07-01,6.3096
2001-10-01,6.3096
2002-01-01,6.3096
2002-04-01,6.28186
2002-07-01,6.28186
2002-10-01,6.27875
2003-01-01,6.27875
2003-04-01,6.27719
2003-07-01,6.27719
2003-10-01,6.27719
2004-01-01,6.27719
2004-04-01,6.27719
2004-07-01,6.27719
2004-10-01,6.27486
2005-01-01,6.46202
2005-04-01,6.46202
2005-07-01,6.46202
2005-10-01,7.11202
2006-01-01,7.11202
2006-04-01,6.37202
2006-07-01,6.37202
2006-10-01,6.37202
2007-01-01,6.37202
2007-04-01,6.37202
2007-07-01,6.37202
2007-10-01,6.37202
2008-01-01,6.37202
2008-04-01,6.37202
2008-07-01,6.37202
2008-10-01,6.37202
2009-01-01,6.34023
2009-04-01,3.43192
2009-07-01,3.3012
2009-10-01,3.3012
2010-01-01,3.17049
2010-04-01,3.09932
2010-07-01,2.9686
2010-10-01,2.9686
2011-01-01,2.9686
2011-04-01,2.9686
2011-07-01,2.31908
2011-10-01,2.31908
2012-01-01,2.13697
2012-04-01,2.13697
2012-07-01,2.13697
2012-10-01,2.06892
2013-01-01,2.06892
2013-04-01,2.06892
2013-07-01,1.48786
2013-10-01,1.48786
2014-01-01,1.29418
2014-04-01,3.29418
2014-07-01,3.29418
2014-10-01,2.91186
2015-01-01,3.65737
2015-04-01,4.39737
