date,value
1978-04-01,62.0
1978-07-01,62.0
1978-10-01,62.0
1979-01-01,62.0
1979-04-01,62.0
1979-07-01,62.0
1979-10-01,62.0
1980-01-01,62.0
1980-04-01,62.0
1980-07-01,62.0
1980-10-01,62.0
1981-01-01,62.0
1981-04-01,62.0
1981-07-01,62.0
1981-10-01,62.0
1982-01-01,62.0
1982-04-01,62.0
1982-07-01,62.0
1982-10-01,62.0
1983-01-01,62.0
1983-04-01,62.0
1983-07-01,62.0
1983-10-01,62.0
1984-01-01,62.0
1984-04-01,62.0
1984-07-01,62.0
1984-10-01,62.0
1985-01-01,62.0
1985-04-01,62.0
1985-07-01,62.0
1985-10-01,62.0
1986-01-01,62.0
1986-04-01,62.0
1986-07-01,62.0
1986-10-01,62.0
1987-01-01,62.0
1987-04-01,62.0
1987-07-01,62.0
1987-10-01,62.0
1988-01-01,62.0
1997-04-01,125.0
1997-07-01,125.0
1997-10-01,125.0
1998-01-01,119.0
1998-04-01,119.0
1998-07-01,119.0
1998-10-01,119.0
1999-01-01,119.0
1999-04-01,119.0
1999-07-01,119.0
1999-10-01,119.0
2000-01-01,119.0
2000-04-01,119.0
2000-07-01,119.0
2000-10-01,119.0
2001-01-01,119.0
2001-04-01,119.0
2001-07-01,119.0
2001-10-01,119.0
2002-01-01,119.0
2017-04-01,315.0
2017-07-01,315.0
2017-10-01,615.0
2018-01-01,615.0
2018-04-01,615.0
2018-07-01,615.0
2018-10-01,615.0
2019-01-01,615.0
2019-04-01,615.0
2019-07-01,615.0
2019-10-01,615.0
2020-01-01,300.0
2020-04-01,300.0
2020-07-01,300.0
