date,value
1960-01-01,234.1646
1961-01-01,234.7003
1962-01-01,214.5467
1963-01-01,194.3465
1964-01-01,198.4724
1965-01-01,196.7949
1966-01-01,153.6338
1967-01-01,148.001
1968-01-01,136.113
1969-01-01,129.58700000000002
1970-01-01,127.4572
1971-01-01,117.0399
1972-01-01,111.8964
1973-01-01,108.1305
1974-01-01,107.7438
1975-01-01,125.6089
1976-01-01,120.5311
1977-01-01,126.5701
1978-01-01,135.3779
1979-01-01,140.5135
1980-01-01,133.9636
1981-01-01,148.3873
1982-01-01,163.8409
1983-01-01,204.4941
1984-01-01,183.33700000000002
1985-01-01,167.9215
1986-01-01,170.185
1987-01-01,156.3598
1988-01-01,134.8824
1989-01-01,132.6637
1990-01-01,86.71544
1991-01-01,88.79769
1992-01-01,94.06974
1993-01-01,106.9029
1994-01-01,119.7105
1995-01-01,123.2211
1996-01-01,111.7111
1997-01-01,122.6779
1998-01-01,131.6859
1999-01-01,237.3472
2000-01-01,138.9281
2001-01-01,126.3264
2002-01-01,109.5124
2003-01-01,96.67083000000001
2004-01-01,93.09631
2005-01-01,97.1422
2006-01-01,100.9456
2007-01-01,97.84889
2008-01-01,98.67678000000001
2009-01-01,89.57105
2010-01-01,91.72845
2011-01-01,92.43826999999999
2012-01-01,91.5824
2013-01-01,88.60573000000001
2014-01-01,87.99554
2015-01-01,97.13541
2016-01-01,87.46473
2017-01-01,93.90811
2018-01-01,102.7092
2019-01-01,105.4284
2020-01-01,96.89856999999999
2021-01-01,99.1916
