date,value
1960-01-01,0.011802
1961-01-01,0.012272
1962-01-01,0.012625
1963-01-01,0.013374
1964-01-01,0.013914
1965-01-01,0.014341
1966-01-01,0.015123
1967-01-01,0.015701
1968-01-01,0.016378
1969-01-01,0.017415
1970-01-01,0.018308
1971-01-01,0.019843
1972-01-01,0.021407
1973-01-01,0.024191999999999998
1974-01-01,0.029833999999999996
1975-01-01,0.034418000000000004
1976-01-01,0.038091
1977-01-01,0.043048
1978-01-01,0.048063
1979-01-01,0.052997
1980-01-01,0.059852999999999996
1981-01-01,0.069731
1982-01-01,0.081068
1983-01-01,0.120333
1984-01-01,0.157913
1985-01-01,0.202102
1986-01-01,0.248646
1987-01-01,0.32200700000000004
1988-01-01,0.509468
1989-01-01,0.8948709999999999
1990-01-01,1.32905
1991-01-01,1.9765400000000002
1992-01-01,3.05589
1993-01-01,4.42967
1994-01-01,5.63945
1995-01-01,6.93237
1996-01-01,8.62083
1997-01-01,11.2625
1998-01-01,15.3281
1999-01-01,23.3359
2000-01-01,45.7603
2001-01-01,63.0018
2002-01-01,70.867
2003-01-01,76.4863
2004-01-01,78.5837
2005-01-01,80.1829
2006-01-01,82.8279
2007-01-01,84.7133
2008-01-01,91.8293
2009-01-01,96.5676
2010-01-01,100.0
2011-01-01,104.475
2012-01-01,109.805
2013-01-01,112.79299999999999
2014-01-01,116.84200000000001
2015-01-01,121.476
2016-01-01,123.57600000000001
2017-01-01,124.09100000000001
