date,value
1960-01-01,6.721
1961-01-01,6.7
1962-01-01,6.676
1963-01-01,6.646
1964-01-01,6.61
1965-01-01,6.564
1966-01-01,6.507
1967-01-01,6.436
1968-01-01,6.351
1969-01-01,6.252
1970-01-01,6.138
1971-01-01,6.011
1972-01-01,5.873
1973-01-01,5.727
1974-01-01,5.577
1975-01-01,5.426
1976-01-01,5.276
1977-01-01,5.13
1978-01-01,4.989
1979-01-01,4.855
1980-01-01,4.73
1981-01-01,4.612
1982-01-01,4.501
1983-01-01,4.395
1984-01-01,4.305
1985-01-01,4.145
1986-01-01,4.0
1987-01-01,3.87
1988-01-01,3.787
1989-01-01,3.736
1990-01-01,3.68
1991-01-01,3.633
1992-01-01,3.575
1993-01-01,3.491
1994-01-01,3.42
1995-01-01,3.381
1996-01-01,3.351
1997-01-01,3.288
1998-01-01,3.228
1999-01-01,3.166
2000-01-01,3.102
2001-01-01,3.037
2002-01-01,2.972
2003-01-01,2.911
2004-01-01,2.853
2005-01-01,2.8
2006-01-01,2.753
2007-01-01,2.704
2008-01-01,2.688
2009-01-01,2.678
2010-01-01,2.615
2011-01-01,2.605
2012-01-01,2.509
2013-01-01,2.362
2014-01-01,2.274
2015-01-01,2.209
2016-01-01,2.122
2017-01-01,2.128
2018-01-01,2.111
2019-01-01,2.035
2020-01-01,1.967
2021-01-01,1.909
2022-01-01,1.861
2023-01-01,1.823
