date,value
2004-01-01,2.9795458206
2005-01-01,2.9996778869
2006-01-01,5.1860202931
2007-01-01,13.57706555
2008-01-01,13.6092768562
2009-01-01,17.6155580609
2010-01-01,18.6181349654
2011-01-01,11.1612175874
2012-01-01,11.9705266549
2013-01-01,13.4804316315
2014-01-01,15.3849251087
2015-01-01,16.7055886616
2016-01-01,17.4263166371
2017-01-01,18.0423578676
2018-01-01,20.498469963
2019-01-01,23.2364309873
2020-01-01,24.4483813819
2021-01-01,25.7005959092
2022-01-01,27.1299726204
2023-01-01,28.7244322757
2024-01-01,29.2921565469
