date,value
2004-01-01,8.2254694548
2005-01-01,8.0873362844
2006-01-01,13.653460336
2007-01-01,34.9052062792
2008-01-01,34.174573834
2009-01-01,43.2267146827
2010-01-01,44.6644481907
2011-01-01,26.1850086103
2012-01-01,27.4767321154
2013-01-01,30.2858703931
2014-01-01,33.8327523356
2015-01-01,35.9494493037
2016-01-01,36.6753957159
2017-01-01,37.1097185558
2018-01-01,41.1303336332
2019-01-01,45.5031659827
2020-01-01,47.0151678891
2021-01-01,48.7655992809
2022-01-01,50.7539308874
2023-01-01,52.9062899379
2024-01-01,53.1010541161
