date,value
2004-01-01,3.8009341279
2005-01-01,3.9297793526
2006-01-01,4.1914962152
2007-01-01,4.6223224352
2008-01-01,4.7632468997
2009-01-01,4.8598808182
2010-01-01,5.1135448542
2011-01-01,5.3873409567
2012-01-01,5.6128200999
2013-01-01,5.3068126913
2014-01-01,5.2464164922
2015-01-01,5.3309711709
2016-01-01,5.1860202931
2017-01-01,4.6867450475
2018-01-01,4.6988242873
2019-01-01,4.9243034305
2020-01-01,4.9846996296
2021-01-01,4.8478015784
2022-01-01,4.8075374456
2023-01-01,4.8357223385
2024-01-01,4.4330810114
