date,value
2004-01-01,10.4930313045
2005-01-01,10.5949533068
2006-01-01,11.0351337032
2007-01-01,11.8835043916
2008-01-01,11.9611008419
2009-01-01,11.9256330565
2010-01-01,12.2672684261
2011-01-01,12.6390842426
2012-01-01,12.883472778
2013-01-01,11.9225738286
2014-01-01,11.5373138689
2015-01-01,11.471938028
2016-01-01,10.9144892981
2017-01-01,9.6397483595
2018-01-01,9.428226154
2019-01-01,9.6431072599
2020-01-01,9.5857671026
2021-01-01,9.1984617788
2022-01-01,8.993795411
2023-01-01,8.906707908
2024-01-01,8.0363244786
