date,value
1960-01-01,2069464937.19791
1961-01-01,1753850955.05808
1962-01-01,1518207703.48997
1963-01-01,1824343870.71407
1964-01-01,2244146102.98333
1965-01-01,2387047395.70254
1966-01-01,2429308638.838
1967-01-01,2553595172.08743
1968-01-01,2582179864.15493
1969-01-01,3112165727.38342
1970-01-01,2862503139.00358
1971-01-01,2754219271.03082
1972-01-01,3185986087.33583
1973-01-01,3891754150.23796
1974-01-01,6599257044.12414
1975-01-01,7731674472.07212
1976-01-01,9091921030.17345
1977-01-01,11026342618.1141
1978-01-01,11922497876.4828
1979-01-01,14175160902.0721
1980-01-01,17881508242.4481
1981-01-01,21810759353.7304
1982-01-01,19929846396.4239
1983-01-01,17152477036.5005
1984-01-01,16912509091.855
1985-01-01,17149088413.35
1986-01-01,15314138472.3282
1987-01-01,13945426859.4657
1988-01-01,13051881851.4068
1989-01-01,13890823704.5545
1990-01-01,15239272611.5809
1991-01-01,16988535267.6338
1992-01-01,18094238119.0595
1993-01-01,18938717358.6793
1994-01-01,22708673336.6683
1995-01-01,24432884442.2211
1996-01-01,25226393196.5983
1997-01-01,28162053026.5133
1998-01-01,27981896948.4742
1999-01-01,19645272636.3182
2000-01-01,17539454727.3637
2001-01-01,23127055000.0
2002-01-01,27054197000.0
2003-01-01,30965208000.0
2004-01-01,35194947000.0
2005-01-01,40278849000.0
2006-01-01,45690762000.0
2007-01-01,49848725000.0
2008-01-01,61139438000.0
2009-01-01,60094978000.0
2010-01-01,68151329000.0
2011-01-01,78986648000.0
2012-01-01,87735048000.0
2013-01-01,96570334000.0
2014-01-01,102717794000.0
2015-01-01,97209558000.0
2016-01-01,97671433000.0
2017-01-01,104467486000.0
2018-01-01,107478961000.0
2019-01-01,107595830000.0
2020-01-01,95865473000.0
2021-01-01,107179074000.0
2022-01-01,116133121000.0
2023-01-01,121147057000.0
2024-01-01,124676074700.0
