date,value
1960-01-01,2043509339.27538
1961-01-01,1726041252.87729
1962-01-01,1494353377.26771
1963-01-01,1806525135.53992
1964-01-01,2225202829.15517
1965-01-01,2362035414.96377
1966-01-01,2404096562.25332
1967-01-01,2528683239.27161
1968-01-01,2555066877.0341
1969-01-01,3084152308.95599
1970-01-01,2833289145.50069
1971-01-01,2718502162.53585
1972-01-01,3140764426.16013
1973-01-01,3775698559.61005
1974-01-01,6432076964.86617
1975-01-01,7676347970.67795
1976-01-01,8952054033.88223
1977-01-01,10829948545.3532
1978-01-01,11653569059.5795
1979-01-01,13770367005.7958
1980-01-01,17268124431.6027
1981-01-01,21049094516.2733
1982-01-01,18929367166.8729
1983-01-01,16262050522.2001
1984-01-01,15808980501.6603
1985-01-01,16089580909.2555
1986-01-01,14271639115.1362
1987-01-01,12885919355.3712
1988-01-01,11818290961.3705
1989-01-01,12526170035.447
1990-01-01,14028692743.8243
1991-01-01,15870976488.2441
1992-01-01,17149765882.9415
1993-01-01,18077986993.4967
1994-01-01,21768303151.5758
1995-01-01,23508422211.1056
1996-01-01,24202981490.7454
1997-01-01,27134639319.6598
1998-01-01,26810811405.7029
1999-01-01,18337918959.4797
2000-01-01,16145751875.938
2001-01-01,21775467000.0
2002-01-01,25814812000.0
2003-01-01,29487961000.0
2004-01-01,33374312000.0
2005-01-01,38481875000.0
2006-01-01,43882484000.0
2007-01-01,47901187000.0
2008-01-01,59727709000.0
2009-01-01,58838676000.0
2010-01-01,67123852000.0
2011-01-01,77743317000.0
2012-01-01,86468104000.0
2013-01-01,95224218000.0
2014-01-01,101189491000.0
2015-01-01,95498179000.0
2016-01-01,95796699000.0
2017-01-01,102098707100.0
2018-01-01,104609708400.0
2019-01-01,104535446600.0
2020-01-01,92537243644.5744
2021-01-01,105445922663.457
2022-01-01,114214268366.311
2023-01-01,118326380936.713
2024-01-01,121312194488.788
