date,value
1999-01-01,32.479009999999995
2000-01-01,21.63368
2001-01-01,16.67103
2002-01-01,14.2844
2003-01-01,12.56949
2004-01-01,11.139000000000001
2005-01-01,11.37796
2006-01-01,8.502816000000001
2007-01-01,7.795528999999999
2008-01-01,6.4298779999999995
2009-01-01,1.566556
2010-01-01,1.39287
2011-01-01,1.211244
2012-01-01,1.0049569999999999
2013-01-01,0.9198204
2014-01-01,2.817796
2015-01-01,3.738691
2016-01-01,6.77513
2017-01-01,12.70726
2018-01-01,14.856539999999999
2019-01-01,17.35108
2020-01-01,18.52063
