date,value
1960-01-01,128.8
1961-01-01,125.2
1962-01-01,121.6
1963-01-01,118.3
1964-01-01,115.3
1965-01-01,112.7
1966-01-01,110.3
1967-01-01,108.3
1968-01-01,106.4
1969-01-01,104.6
1970-01-01,102.6
1971-01-01,100.3
1972-01-01,97.6
1973-01-01,94.3
1974-01-01,90.8
1975-01-01,87.1
1976-01-01,83.4
1977-01-01,79.8
1978-01-01,76.5
1979-01-01,73.3
1980-01-01,70.1
1981-01-01,66.9
1982-01-01,63.6
1983-01-01,60.3
1984-01-01,57.1
1985-01-01,54.1
1986-01-01,51.4
1987-01-01,49.0
1988-01-01,46.7
1989-01-01,44.6
1990-01-01,42.6
1991-01-01,40.6
1992-01-01,38.7
1993-01-01,36.8
1994-01-01,34.8
1995-01-01,32.7
1996-01-01,30.7
1997-01-01,28.8
1998-01-01,27.1
1999-01-01,25.5
2000-01-01,24.1
2001-01-01,23.0
2002-01-01,21.9
2003-01-01,21.1
2004-01-01,20.3
2005-01-01,19.5
2006-01-01,18.8
2007-01-01,18.1
2008-01-01,17.4
2009-01-01,16.7
2010-01-01,16.0
2011-01-01,15.3
2012-01-01,14.6
2013-01-01,14.0
2014-01-01,13.4
2015-01-01,12.9
2016-01-01,12.5
2017-01-01,12.2
2018-01-01,11.9
2019-01-01,11.7
2020-01-01,11.5
2021-01-01,11.3
2022-01-01,11.2
2023-01-01,11.1
