date,value
1990-01-01,0.0
1992-01-01,0.00512
1993-01-01,0.0164
1994-01-01,0.0348
1995-01-01,0.0438
1996-01-01,0.0862
1997-01-01,0.11
1998-01-01,0.125
1999-01-01,0.823
2000-01-01,1.46219
2001-01-01,2.67044
2002-01-01,4.2608
2003-01-01,4.46023
2004-01-01,4.83444
2005-01-01,5.99426
2006-01-01,7.2
2007-01-01,10.8
2008-01-01,18.8
2009-01-01,24.6
2010-01-01,29.03
2011-01-01,31.3668
2012-01-01,35.1351
2013-01-01,40.2791
2014-01-01,45.5904
2015-01-01,48.9404
2016-01-01,54.0629
2017-01-01,55.8
2018-01-01,57.5
2019-01-01,59.2
2020-01-01,70.7
2021-01-01,69.1148
2022-01-01,69.7181
2023-01-01,72.6943
2024-01-01,77.1727
