date,value
1960-01-01,53.396
1961-01-01,54.052
1962-01-01,54.681
1963-01-01,55.322
1964-01-01,55.95
1965-01-01,56.524
1966-01-01,57.019
1967-01-01,57.482
1968-01-01,57.946
1969-01-01,58.267
1970-01-01,58.85
1971-01-01,59.343
1972-01-01,59.816
1973-01-01,60.306
1974-01-01,60.7
1975-01-01,61.085
1976-01-01,61.425
1977-01-01,61.935
1978-01-01,62.397
1979-01-01,62.854
1980-01-01,63.326
1981-01-01,63.809
1982-01-01,64.271
1983-01-01,64.659
1984-01-01,65.202
1985-01-01,65.625
1986-01-01,66.123
1987-01-01,66.587
1988-01-01,67.038
1989-01-01,67.817
1990-01-01,68.445
1991-01-01,69.04
1992-01-01,69.468
1993-01-01,70.07
1994-01-01,70.876
1995-01-01,71.349
1996-01-01,71.82
1997-01-01,72.007
1998-01-01,71.949
1999-01-01,71.92
2000-01-01,72.09
2001-01-01,72.571
2002-01-01,73.164
2003-01-01,73.632
2004-01-01,73.868
2005-01-01,73.909
2006-01-01,74.01
2007-01-01,74.226
2008-01-01,74.709
2009-01-01,74.901
2010-01-01,75.188
2011-01-01,75.179
2012-01-01,75.486
2013-01-01,75.832
2014-01-01,76.141
2015-01-01,76.222
2016-01-01,76.094
2017-01-01,76.22
2018-01-01,77.248
2019-01-01,77.286
2020-01-01,72.004
2021-01-01,72.746
2022-01-01,76.577
2023-01-01,77.392
