date,value
1960-01-01,1105.211
1961-01-01,985.8993
1962-01-01,1096.6960000000001
1963-01-01,1123.085
1964-01-01,1277.0610000000001
1965-01-01,1282.411
1966-01-01,1495.894
1967-01-01,1678.3029999999999
1968-01-01,2001.381
1969-01-01,2131.449
1970-01-01,1787.233
1971-01-01,2008.9270000000001
1972-01-01,2413.217
1973-01-01,2936.789
1974-01-01,3882.71
1975-01-01,3948.8140000000003
1976-01-01,5197.982
1977-01-01,5896.9580000000005
1978-01-01,5717.196
1979-01-01,6350.554
1980-01-01,7345.125
1981-01-01,7527.229
1982-01-01,6803.013000000001
1983-01-01,5312.984
1984-01-01,6123.526999999999
1985-01-01,5083.032999999999
1986-01-01,4025.946
1987-01-01,3654.0840000000003
1988-01-01,2777.83
1989-01-01,2451.731
1990-01-01,3473.511
1991-01-01,3572.156
1992-01-01,3625.655
1993-01-01,5178.814
1994-01-01,7016.1359999999995
1995-01-01,7305.826999999999
1996-01-01,7949.743
1997-01-01,8526.519
1998-01-01,7017.529
1999-01-01,3361.538
2000-01-01,4779.688
2001-01-01,6201.437
2002-01-01,5883.254
2003-01-01,6809.869000000001
2004-01-01,8577.819
2005-01-01,9935.521
2006-01-01,10947.66
2007-01-01,12481.49
2008-01-01,15187.41
2009-01-01,15960.66
2010-01-01,19069.77
2011-01-01,21847.17
2012-01-01,24851.41
2013-01-01,27665.88
2014-01-01,30560.9
2015-01-01,27120.04
2016-01-01,31739.35
2017-01-01,34363.86
2018-01-01,35309.79
2019-01-01,37586.67
2020-01-01,40781.55
2021-01-01,42907.53
