date,value
1977-01-01,0.09069189999999999
1978-01-01,0.6206751
1979-01-01,0.5290943
1980-01-01,0.40824279999999996
1981-01-01,0.33469709999999997
1982-01-01,0.31109109999999995
1983-01-01,0.3614637
1984-01-01,0.36659240000000004
1985-01-01,0.4198472
1986-01-01,0.4701536
1987-01-01,0.5162981
1988-01-01,0.0766173
1989-01-01,0.0719899
1990-01-01,0.0656199
1991-01-01,0.0588632
1992-01-01,0.055266199999999994
1993-01-01,0.1320047
1994-01-01,1.118515
1995-01-01,24.74943
1996-01-01,24.72411
1997-01-01,24.0714
1998-01-01,22.65036
1999-01-01,32.15023
2000-01-01,54.8021
2001-01-01,26.274790000000003
2002-01-01,21.99381
2003-01-01,19.35383
2004-01-01,17.14872
2005-01-01,17.134420000000002
2006-01-01,13.61479
2007-01-01,12.49221
2008-01-01,10.31692
2009-01-01,5.279937
2010-01-01,4.268542
2011-01-01,2.925199
2012-01-01,2.353154
2013-01-01,1.564181
2014-01-01,2.862582
2015-01-01,3.773779
2016-01-01,6.50105
2017-01-01,12.09348
2018-01-01,14.51535
2019-01-01,20.03829
2020-01-01,20.47816
2021-01-01,19.16718
