date,value
1993-01-01,0.0528019
1994-01-01,0.8807207
1995-01-01,0.0613927
1996-01-01,0.4598359
1997-01-01,-0.259214
1998-01-01,-1.150744
1999-01-01,-1.150744
2000-01-01,-1.150744
2001-01-01,-1.150744
2002-01-01,-0.0105083
2003-01-01,-0.0105083
2004-01-01,-0.0054656999999999996
2005-01-01,1.565998
2006-01-01,1.565998
2007-01-01,1.565998
2008-01-01,1.565998
2009-01-01,1.565998
2010-01-01,1.565998
2011-01-01,1.565998
2012-01-01,-0.077339
2013-01-01,-0.077339
2014-01-01,-0.3755173
2015-01-01,-0.6546455
2016-01-01,0.7504675999999999
2017-01-01,2.68467
2018-01-01,2.68467
2019-01-01,2.68467
2020-01-01,-0.29811329999999997
2021-01-01,0.0037677
