date,value
1994-10-01,0.19074
1995-01-01,5.76569
1997-04-01,0.5
1998-10-01,-0.26915
2000-01-01,-0.0226
2000-07-01,3.75
2001-01-01,-0.47226
2001-04-01,-3.14282
2002-04-01,-0.02775
2002-10-01,-0.00311
2003-04-01,-0.00156
2004-10-01,-0.00233
2005-01-01,0.18716
2005-10-01,0.65
2006-04-01,-0.74
2009-01-01,-0.03179
2009-04-01,-2.90831
2009-07-01,-0.13072
2010-01-01,-0.13071
2010-04-01,-0.07117
2010-07-01,-0.13072
2011-07-01,-0.64952
2012-01-01,-0.18211
2012-10-01,-0.06805
2013-07-01,-0.58105
2014-01-01,-0.19368
2014-04-01,2.0
2014-10-01,-0.38232
2015-01-01,0.74551
2015-04-01,0.74
