date,value
1980-01-01,0.061515999999999994
1981-01-01,0.0504338
1982-01-01,0.0504338
1983-01-01,0.0504338
1984-01-01,0.0504338
1985-01-01,0.0583121
1986-01-01,0.0652991
1987-01-01,0.0717081
1988-01-01,0.0766173
1989-01-01,0.0719899
1990-01-01,0.0656199
1991-01-01,0.0588632
1992-01-01,0.055266199999999994
1993-01-01,0.0528019
1994-01-01,0.8851243000000001
1995-01-01,24.41791
1996-01-01,23.649829999999998
1997-01-01,22.959970000000002
1998-01-01,22.14646
1999-01-01,31.54448
2000-01-01,54.152809999999995
2001-01-01,25.788439999999998
2002-01-01,21.99381
2003-01-01,19.35383
2004-01-01,17.14872
2005-01-01,17.134420000000002
2006-01-01,13.61479
2007-01-01,12.49221
2008-01-01,10.31692
2009-01-01,5.279937
2010-01-01,4.268542
2011-01-01,2.925199
2012-01-01,2.353154
2013-01-01,1.564181
2014-01-01,2.862582
2015-01-01,3.773779
2016-01-01,6.50105
2017-01-01,11.50285
2018-01-01,13.94265
2019-01-01,18.72849
2020-01-01,19.768639999999998
