date,value
1960-01-01,4590891.0
1961-01-01,4722331.0
1962-01-01,4859269.0
1963-01-01,5001716.0
1964-01-01,5149918.0
1965-01-01,5303963.0
1966-01-01,5463748.0
1967-01-01,5629057.0
1968-01-01,5799680.0
1969-01-01,5975236.0
1970-01-01,6155387.0
1971-01-01,6340052.0
1972-01-01,6529034.0
1973-01-01,6722033.0
1974-01-01,6918573.0
1975-01-01,7118251.0
1976-01-01,7320912.0
1977-01-01,7526819.0
1978-01-01,7736167.0
1979-01-01,7948869.0
1980-01-01,8165877.0
1981-01-01,8386910.0
1982-01-01,8611298.0
1983-01-01,8840417.0
1984-01-01,9074782.0
1985-01-01,9311154.0
1986-01-01,9545998.0
1987-01-01,9779290.0
1988-01-01,10010808.0
1989-01-01,10241852.0
1990-01-01,10473673.0
1991-01-01,10702380.0
1992-01-01,10930128.0
1993-01-01,11154274.0
1994-01-01,11372197.0
1995-01-01,11590514.0
1996-01-01,11810950.0
1997-01-01,12031127.0
1998-01-01,12251184.0
1999-01-01,12470795.0
2000-01-01,12689206.0
2001-01-01,12910740.0
2002-01-01,13138472.0
2003-01-01,13372306.0
2004-01-01,13608701.0
2005-01-01,13846163.0
2006-01-01,14086131.0
2007-01-01,14328773.0
2008-01-01,14575202.0
2009-01-01,14825954.0
2010-01-01,15076695.0
2011-01-01,15326227.0
2012-01-01,15572194.0
2013-01-01,15807128.0
2014-01-01,16035124.0
2015-01-01,16266225.0
2016-01-01,16505139.0
2017-01-01,16759519.0
2018-01-01,17049547.0
2019-01-01,17340021.0
2020-01-01,17546065.0
2021-01-01,17682454.0
2022-01-01,17823897.0
2023-01-01,17980083.0
2024-01-01,18135478.0
