date,value
2005-01-01,328.9115324656
2006-01-01,343.4631832534
2007-01-01,371.9165256277
2008-01-01,481.9827197986
2009-01-01,519.0138262252
2010-01-01,567.7960248834
2011-01-01,661.5802067029
2012-01-01,624.8575794006
2013-01-01,663.1502009107
2014-01-01,769.9410915202
2015-01-01,810.5010862816
2016-01-01,831.0051490459
2017-01-01,895.227612347
2018-01-01,892.5355109654
2019-01-01,1242.9743695198
2020-01-01,1320.6722487629
2021-01-01,1482.2447149909
2022-01-01,1669.4308652445
2023-01-01,1884.1468682762
2024-01-01,2199.7497425785
