date,value
2005-01-01,340.7769031755
2006-01-01,356.7254846713
2007-01-01,363.9901867925
2008-01-01,421.6857285969
2009-01-01,390.4970983265
2010-01-01,519.6151207317
2011-01-01,605.1656825247
2012-01-01,588.9296957948
2013-01-01,618.0738258798
2014-01-01,714.9120003117
2015-01-01,741.9132801199
2016-01-01,758.9088459648
2017-01-01,796.5575829209
2018-01-01,808.4003475275
2019-01-01,599.0108206229
2020-01-01,611.4995445986
2021-01-01,648.1280480887
2022-01-01,688.6844419919
2023-01-01,720.7576501094
2024-01-01,761.0810951269
