date,value
2004-01-01,17.5849106975
2005-01-01,17.2398164982
2006-01-01,18.3930118807
2007-01-01,19.9667127091
2008-01-01,20.4044067201
2009-01-01,22.1782255719
2010-01-01,22.4130618602
2011-01-01,22.6635620212
2012-01-01,23.8981501067
2013-01-01,24.8307685881
2014-01-01,26.1432051231
2015-01-01,24.4303773809
2016-01-01,28.6818098884
2017-01-01,28.6768159761
2018-01-01,28.360529669
2019-01-01,31.2171002791
2020-01-01,38.5449930338
2021-01-01,37.873690993
2022-01-01,37.4622062442
2023-01-01,38.0483419856
2024-01-01,43.4566108034
