date,value
1992-01-01,22329051.0
1997-01-01,7247784.0
2002-01-01,14524226.0
2003-01-01,10907724.0
2004-01-01,6047447.0
2005-01-01,28088667.0
2006-01-01,36630833.0
2007-01-01,11877822.0
2008-01-01,45178274.0
2009-01-01,22746412.0
2010-01-01,10114551.0
2011-01-01,18398159.0
2012-01-01,16081913.0
2013-01-01,13632958.0
2014-01-01,23403891.0
2015-01-01,9775138.0
2016-01-01,9030833.0
2017-01-01,7622937.0
2018-01-01,10930104.0
2019-01-01,12616466.0
2020-01-01,18332315.0
2021-01-01,11597335.0
2022-01-01,14808204.0
