date,value
1992-01-01,20089021.0
1997-01-01,64605645.0
2002-01-01,80586343.0
2003-01-01,102848458.0
2004-01-01,101367507.0
2005-01-01,90752863.0
2006-01-01,61457939.0
2007-01-01,112667870.0
2008-01-01,135336537.0
2009-01-01,127268482.0
2010-01-01,138408853.0
2011-01-01,225979638.0
2012-01-01,207675075.0
2013-01-01,545802149.0
2014-01-01,816681431.0
2015-01-01,242478279.0
2016-01-01,206685372.0
2017-01-01,256388026.0
2018-01-01,347677802.0
2019-01-01,722259484.0
2020-01-01,332515244.0
2021-01-01,284816721.0
2022-01-01,338796135.0
