date,value
1992-01-01,11211747.0
1997-01-01,15173451.0
2002-01-01,37842999.0
2003-01-01,25552393.0
2004-01-01,30733052.0
2005-01-01,26424391.0
2006-01-01,39455941.0
2007-01-01,44620933.0
2008-01-01,59587420.0
2009-01-01,67559021.0
2010-01-01,55237450.0
2011-01-01,87802746.0
2012-01-01,145854478.0
2013-01-01,139483292.0
2014-01-01,166502888.0
2015-01-01,102382289.0
2016-01-01,62685209.0
2017-01-01,78468279.0
2018-01-01,64834338.0
2019-01-01,55084636.0
2020-01-01,38873836.0
2021-01-01,55223540.0
2022-01-01,67391381.0
