date,value
1992-01-01,2270763.0
1997-01-01,12423988.0
2002-01-01,7073520.0
2003-01-01,5819203.0
2004-01-01,5340465.0
2005-01-01,6500544.0
2006-01-01,7650034.0
2007-01-01,10359443.0
2008-01-01,14732199.0
2009-01-01,17473101.0
2010-01-01,17155936.0
2011-01-01,25884425.0
2012-01-01,24187660.0
2013-01-01,20371459.0
2014-01-01,22039929.0
2015-01-01,28230874.0
2016-01-01,20945114.0
2017-01-01,26086322.0
2018-01-01,20884850.0
2019-01-01,19970546.0
2020-01-01,15780437.0
2021-01-01,22469594.0
2022-01-01,20878778.0
