date,value
1992-01-01,2449669.0
1997-01-01,3762901.0
2002-01-01,10951481.0
2003-01-01,13827645.0
2004-01-01,13159850.0
2005-01-01,13221066.0
2006-01-01,11820514.0
2007-01-01,15968135.0
2008-01-01,16691918.0
2009-01-01,17392243.0
2010-01-01,15820952.0
2011-01-01,36706927.0
2012-01-01,24517163.0
2013-01-01,32379595.0
2014-01-01,34473297.0
2015-01-01,25315097.0
2016-01-01,17755893.0
2017-01-01,12605502.0
2018-01-01,14875468.0
2019-01-01,15481323.0
2020-01-01,12819884.0
2021-01-01,14136582.0
2022-01-01,14089290.0
