date,value
1992-01-01,26425368.0
1997-01-01,131876968.0
2002-01-01,135161923.0
2003-01-01,68124759.0
2004-01-01,116012852.0
2005-01-01,118246388.0
2006-01-01,234087094.0
2007-01-01,306372260.0
2008-01-01,379953001.0
2009-01-01,377071579.0
2010-01-01,434397936.0
2011-01-01,529956189.0
2012-01-01,1165254975.0
2013-01-01,1310645080.0
2014-01-01,736081571.0
2015-01-01,697020299.0
2016-01-01,562278792.0
2017-01-01,561689333.0
2018-01-01,715604275.0
2019-01-01,893568143.0
2020-01-01,653510461.0
2021-01-01,704582193.0
2022-01-01,1638088750.0
