date,value
1992-01-01,4623940.0
1997-01-01,10286053.0
2002-01-01,12298307.0
2003-01-01,13828405.0
2004-01-01,9946063.0
2005-01-01,17056924.0
2006-01-01,34172518.0
2007-01-01,24845837.0
2008-01-01,32130658.0
2009-01-01,57331178.0
2010-01-01,117412801.0
2011-01-01,84427346.0
2012-01-01,89413298.0
2013-01-01,53489944.0
2014-01-01,44734436.0
2015-01-01,34848477.0
2016-01-01,27831734.0
2017-01-01,37831380.0
2018-01-01,74572668.0
2019-01-01,40043072.0
2020-01-01,20486810.0
2021-01-01,84182045.0
2022-01-01,52352607.0
