date,value
1992-01-01,4745330.0
1997-01-01,7641008.0
2002-01-01,4965523.0
2003-01-01,4132138.0
2004-01-01,7120360.0
2005-01-01,7183573.0
2006-01-01,10249280.0
2007-01-01,12370665.0
2008-01-01,13547771.0
2009-01-01,17699824.0
2010-01-01,17969287.0
2011-01-01,23743398.0
2012-01-01,26682014.0
2013-01-01,24792626.0
2014-01-01,22668194.0
2015-01-01,21428293.0
2016-01-01,17296741.0
2017-01-01,15964651.0
2018-01-01,26035771.0
2019-01-01,24677577.0
2020-01-01,35647628.0
2021-01-01,19330165.0
2022-01-01,14788167.0
