date,value
1992-01-01,1354683.0
1997-01-01,8641591.0
2002-01-01,4378617.0
2003-01-01,2148029.0
2004-01-01,6834397.0
2005-01-01,4134656.0
2006-01-01,38015016.0
2007-01-01,67321116.0
2008-01-01,66283381.0
2009-01-01,62555117.0
2010-01-01,71155371.0
2011-01-01,75218194.0
2012-01-01,37569882.0
2013-01-01,41241221.0
2014-01-01,39118704.0
2015-01-01,33014325.0
2016-01-01,30362269.0
2017-01-01,16438881.0
2018-01-01,24651156.0
2019-01-01,19057716.0
2020-01-01,25478214.0
2021-01-01,57645889.0
2022-01-01,52578433.0
