date,value
1992-01-01,3155416.0
1997-01-01,11563333.0
2002-01-01,8269590.0
2003-01-01,7708685.0
2004-01-01,8599543.0
2005-01-01,10197646.0
2006-01-01,10676744.0
2007-01-01,11139847.0
2008-01-01,15638862.0
2009-01-01,20398258.0
2010-01-01,18149588.0
2011-01-01,32017391.0
2012-01-01,21372414.0
2013-01-01,25775033.0
2014-01-01,25204055.0
2015-01-01,23265094.0
2016-01-01,18210672.0
2017-01-01,13607011.0
2018-01-01,15649005.0
2019-01-01,13120316.0
2020-01-01,8909940.0
2021-01-01,17747274.0
2022-01-01,23070595.0
