date,value
1992-01-01,11092010.0
1997-01-01,22286971.0
2002-01-01,24158990.0
2003-01-01,15907500.0
2004-01-01,17893248.0
2005-01-01,31491965.0
2006-01-01,70355272.0
2007-01-01,76075830.0
2008-01-01,42406236.0
2009-01-01,54543692.0
2010-01-01,84160959.0
2011-01-01,58917330.0
2012-01-01,57205849.0
2013-01-01,200456119.0
2014-01-01,109836691.0
2015-01-01,57174842.0
2016-01-01,31840098.0
2017-01-01,53188602.0
2018-01-01,30476895.0
2019-01-01,56480795.0
2020-01-01,23053533.0
2021-01-01,63883213.0
2022-01-01,33173503.0
