date,value
1992-01-01,14709888.0
1997-01-01,19225410.0
2002-01-01,38042653.0
2003-01-01,23194108.0
2004-01-01,27743242.0
2005-01-01,21412079.0
2006-01-01,23078033.0
2007-01-01,43745752.0
2008-01-01,77832273.0
2009-01-01,41911653.0
2010-01-01,126788854.0
2011-01-01,84320044.0
2012-01-01,58285521.0
2013-01-01,59040647.0
2014-01-01,68113676.0
2015-01-01,58079263.0
2016-01-01,34867442.0
2017-01-01,27620588.0
2018-01-01,39747219.0
2019-01-01,42158286.0
2020-01-01,27875148.0
2021-01-01,33143844.0
2022-01-01,30258564.0
