date,value
1992-01-01,9503021.0
1997-01-01,15522498.0
2002-01-01,10634530.0
2003-01-01,9991540.0
2004-01-01,11684377.0
2005-01-01,17699788.0
2006-01-01,15586573.0
2007-01-01,18826971.0
2008-01-01,26982669.0
2009-01-01,32025691.0
2010-01-01,37767906.0
2011-01-01,58539911.0
2012-01-01,62843176.0
2013-01-01,56628542.0
2014-01-01,52977049.0
2015-01-01,42863235.0
2016-01-01,32114787.0
2017-01-01,37735543.0
2018-01-01,52723265.0
2019-01-01,37037547.0
2020-01-01,34107903.0
2021-01-01,41326845.0
2022-01-01,40942417.0
