date,value
1992-01-01,11387342.0
1997-01-01,15544101.0
2002-01-01,22261658.0
2003-01-01,18254481.0
2004-01-01,32218246.0
2005-01-01,30905576.0
2006-01-01,37476376.0
2007-01-01,42075568.0
2008-01-01,52638569.0
2009-01-01,70795443.0
2010-01-01,56666879.0
2011-01-01,79629735.0
2012-01-01,64969852.0
2013-01-01,74060496.0
2014-01-01,57839784.0
2015-01-01,50663165.0
2016-01-01,29880132.0
2017-01-01,38788066.0
2018-01-01,44245788.0
2019-01-01,36796479.0
2020-01-01,25446974.0
2021-01-01,34267032.0
2022-01-01,41735004.0
