date,value
1992-01-01,7623818.0
1997-01-01,5483149.0
2002-01-01,10432273.0
2003-01-01,30321141.0
2004-01-01,33893865.0
2005-01-01,38351550.0
2006-01-01,33694439.0
2007-01-01,41337456.0
2008-01-01,41326470.0
2009-01-01,47660562.0
2010-01-01,75689865.0
2011-01-01,73098994.0
2012-01-01,52844515.0
2013-01-01,59708168.0
2014-01-01,55748329.0
2015-01-01,47472251.0
2016-01-01,55385783.0
2017-01-01,61583264.0
2018-01-01,76127381.0
2019-01-01,68270230.0
2020-01-01,59946366.0
2021-01-01,63440897.0
2022-01-01,54224148.0
