date,value
1992-01-01,11440770.0
1997-01-01,9933807.0
2002-01-01,18464015.0
2003-01-01,17554431.0
2004-01-01,21421103.0
2005-01-01,17475844.0
2006-01-01,17272461.0
2007-01-01,16219316.0
2008-01-01,21765122.0
2009-01-01,19868160.0
2010-01-01,35577344.0
2011-01-01,43106086.0
2012-01-01,74855688.0
2013-01-01,67181320.0
2014-01-01,78432699.0
2015-01-01,61404148.0
2016-01-01,55518265.0
2017-01-01,67403300.0
2018-01-01,71225210.0
2019-01-01,57595364.0
2020-01-01,69281734.0
2021-01-01,70772775.0
2022-01-01,85917169.0
