date,value
1992-01-01,278203.0
1997-01-01,2336696.0
2002-01-01,2978395.0
2003-01-01,5981400.0
2004-01-01,4441041.0
2005-01-01,4675796.0
2006-01-01,4677882.0
2007-01-01,4969870.0
2008-01-01,6749534.0
2009-01-01,6055082.0
2010-01-01,11870664.0
2011-01-01,8136250.0
2012-01-01,12780028.0
2013-01-01,17820922.0
2014-01-01,22525305.0
2015-01-01,18349046.0
2016-01-01,21857414.0
2017-01-01,26372122.0
2018-01-01,31325711.0
2019-01-01,38042531.0
2020-01-01,30024209.0
2021-01-01,24078563.0
2022-01-01,26408133.0
