date,value
1992-01-01,4725279.0
1997-01-01,10796844.0
2002-01-01,7740513.0
2003-01-01,7729974.0
2004-01-01,7174896.0
2005-01-01,8052595.0
2006-01-01,10596815.0
2007-01-01,21757111.0
2008-01-01,16582983.0
2009-01-01,18802673.0
2010-01-01,25588741.0
2011-01-01,18519376.0
2012-01-01,23168306.0
2013-01-01,23531717.0
2014-01-01,24840719.0
2015-01-01,42577167.0
2016-01-01,32551276.0
2017-01-01,20993164.0
2018-01-01,21447220.0
2019-01-01,20154637.0
2020-01-01,19288201.0
2021-01-01,40176820.0
2022-01-01,35801878.0
