date,value
1992-01-01,8177292.0
1997-01-01,8673277.0
2002-01-01,19893914.0
2003-01-01,9234209.0
2004-01-01,9820259.0
2005-01-01,15281070.0
2006-01-01,11736424.0
2007-01-01,20073509.0
2008-01-01,26053437.0
2009-01-01,23990378.0
2010-01-01,21474162.0
2011-01-01,24381615.0
2012-01-01,39458373.0
2013-01-01,36753613.0
2014-01-01,32902770.0
2015-01-01,27316994.0
2016-01-01,25645016.0
2017-01-01,20551559.0
2018-01-01,33394205.0
2019-01-01,23929464.0
2020-01-01,19283209.0
2021-01-01,70877502.0
2022-01-01,22128481.0
