Year,AI Preparedness Index [AI_PI],Animal and vegetable oils and fats [SITC1_4],Beverages and tobacco [SITC1_1],Bond openness index (1=fully liberalized) [Ka_bo],Central Government Debt [CG_DEBT_GDP],Chemicals [SITC1_5],Collective investment openness index (1=fully liberalized) [Ka_ci],Commercial credit openness index (1=fully liberalized) [Ka_cc],Commodity & transactions not classified accord to kind [SITC1_9],"Crude materials, inedible, except fuels [SITC1_2]","Current account balance
U.S. dollars [BCA]","Current account balance, percent of GDP [BCA_NGDPD]",Cyclically adjusted balance [GGCB_G01_PGDP_PT],Cyclically adjusted primary balance [GGCBP_G01_PGDP_PT],DEBT [DEBT1],Debt Forgiveness [DebtForg],Debt Securities Assets [DebtA],Debt Securities Liabilities [DebtL],Derivative investment openness index (1=fully liberalized) [Ka_dr],Digital Infrastructure [DI],Direct Investment Abroad [DirectAbroad],Direct Investment In Country [DirectIn],Direct investment liquidation openness index (1=fully liberalized) [ka_ldi],Direct investment openness index (1=fully liberalized) [Ka_di],Equity Securities Assets [EquityA],Equity Securities Liabilities [EquityL],Equity openness index (1=fully liberalized) [Ka_eq],Expenditure [G_X_G01_GDP_PT],Export Diversification Index [total_theil],Export Quality Index [SITC1_total],Extensive Margin [extensive],Financial Derivatives [Deriv],"Financial Market Openness Index (equity, bond, money market, collective investment, derivates) 1=fully liberalized [FM_ka]",Financial credit openness index (1=fully liberalized) [Ka_fc],Fiscal Rule Indicator [FR_ind],Food and live animals [SITC1_0],"GDP based on PPP, share of world [PPPSH]","GDP per capita, current prices [PPPPC]","GDP per capita, current prices
 [NGDPDPC]","GDP, current prices [NGDPD]","GDP, current prices [PPPGDP]",Gender Budgeting Indicator [GRB_dummy],Gender Development Index (GDI) Time Consistent [GDI_TC],Gender Inequality Index (GII) Time Consistent [GII_TC],General government gross debt [GGXWDG_NGDP],General government net lending/borrowing [GGXCNL_NGDP],"Government expenditure, percent of GDP [exp]","Government primary balance, percent of GDP [pb]","Government primary expenditure, percent of GDP [prim_exp]","Government revenue, percent of GDP [rev]",Gross debt position [G_XWDG_G01_GDP_PT],"Gross public debt, percent of GDP [d]",Guarantee openness index (1=fully liberalized) [Ka_gu],Human Capital and Labor Market Policies [HCLMP],Implied PPP conversion rate [PPPEX],"Inflation rate, average consumer prices [PCPIPCH]","Inflation rate, end of period consumer prices [PCPIEPCH]",Innovation and Economic Integration [IEI],Intensive Margin [intensive],"Interest paid on public debt, percent of GDP [ie]",Machinery and transport equipment [SITC1_7],Manufact goods classified chiefly by material [SITC1_6],"Mineral fuels, lubricants and related materials [SITC1_3]",Miscellaneous manufactured articles [SITC1_8],Money market openness index (1=fully liberalized) [Ka_mm],Net lending/borrowing (also referred as overall balance) [GGXCNL_G01_GDP_PT],Nominal GDP [GDP],Nonfinancial Public Sector Debt [NFPS_DEBT_GDP],Nonresident Openness Index (1=fully liberalized) [Nonres_ka],Openness of Capital Inflows Index  (1=fully liberalized) [ka_in],Openness of Capital Outflows Index   (1=fully liberalized) [ka_out],Other Investment Assets [OtherA],Other Investment Liabilities [OtherL],Overall Openness Index (all asset categories) [ka_new],Personal capital transaction openness index (1=fully liberalized) [ka_pct],Population [LP],Portfolio Investment Assets [Portfa],Portfolio Investment Liabilities [Portfl],Primary net lending/borrowing (also referred as primary balance) [GGXONLB_G01_GDP_PT],Private Inflows excluding Direct Investment [PrivInexDI],Private Inflows excluding Direct Investment (% of GDP) [PrivInexDIGDP],Private Outflows excluding Direct Investment [PrivOutexDI],Private Outflows excluding Direct Investment (% of GDP) [PrivOutexDIGDP],"Private debt, loans and debt securities [PVD_LS]",Proxy for Official Other Investment Liabilities [OtherGov],Ratio of reserve/ARA metric  [Reserves_ARA],Real GDP growth [NGDP_RPCH],"Real GDP growth rate, percent [rgc]",Real estate capital transaction openness index (1=fully liberalized) [ka_ret],Regulation and Ethics [RE],Reserve/(Import/12)  [Reserves_M],Reserves/Broad Money [Reserves_M2],Reserves/Short-term Debt (STD) [Reserves_STD],Resident Openness Index (1=fully liberalized) [Res_ka],Revenue [GGR_G01_GDP_PT],Unemployment rate [LUR]
1939,,,,,,,,,,,,,,,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,13.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9230103,,,,,,,,,,,,,,,,15.877953,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34039,,,,,,,,,,,,,,,,15.026948,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4651608,,,,,,,,,,,,,,,,15.356355,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.733129,,,,,,,,,,,,,,,,18.034244,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7945728,,,,,,,,,,,,,,,,19.332388,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5048414,,,,,,,,,,,,,,,,20.56688,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5534598,,,,,,,,,,,,,,,,22.031178,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1343468,,,,,,,,,,,,,,,,22.837139,,,,,,,,,,,,
