code,name,source_org,topics,years_available
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1968-1984
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2023
AG.LND.AGRI.K2,Agricultural land (sq. km),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Climate Change",1961-2023
AG.LND.AGRI.ZS,Agricultural land (% of land area),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Climate Change, Environment ",1961-2023
AG.LND.ARBL.HA,Arable land (hectares),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2023
AG.LND.ARBL.HA.PC,Arable land (hectares per person),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2023
AG.LND.ARBL.ZS,Arable land (% of land area),"FAO electronic files and website, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Climate Change, Environment ",1961-2023
AG.LND.CREL.HA,Land under cereal production (hectares),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), uri: https://www.fao.org/faostat/en/#data/QCL, note: Item code F1717, publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2023
AG.LND.CROP.ZS,Permanent cropland (% of land area),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2023
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),"Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3, Center For International Earth Science Information Network (CIESIN) - Columbia University, uri: https://www.earthdata.nasa.gov/data/catalog/sedac-ciesin-sedac-lecz-urplaev3-3.00, publisher: NASA Socioeconomic Data and Applications Center (SEDAC), date published: 2021","Agriculture & Rural Development  , Climate Change, Environment ",1990-2015
